status	dir	filename	size_bytes	source_url	resolved_url
OK	接種指引	疫苗接種禁忌及注意事項.pdf	200609	https://www.cdc.gov.tw/File/Get/6HX8tpLSrgLfbqervyCpXA	https://www.cdc.gov.tw/Uploads/files/3297969b-33f0-444d-9cf4-3214fbe6bab1.pdf
OK	接種指引	各項預防接種間隔時間一覽表.pdf	570104	https://www.cdc.gov.tw/File/Get/m_twwaBhrxBvOSp8t7l34g	https://www.cdc.gov.tw/Uploads/files/8adeca9f-e44f-40e1-93d5-231a57546e4b.pdf
OK	接種指引	各項常規疫苗最小接種年齡與最短接種間隔.pdf	120071	https://www.cdc.gov.tw/File/Get/MGf3GnfN7QVo5QK13LUvwg	https://www.cdc.gov.tw/Uploads/files/e471e128-5685-435c-a591-b07fb2d1c419.pdf
FAIL_NO_LINK	接種指引	國小新生入學後預防接種紀錄檢查與補種指引	0	https://www.cdc.gov.tw/File/Get/C21MgK68kNl1C4ORnYLhmQ	-
FAIL_NO_LINK	通函與判讀	B肝表面抗體陰性者之建議措施	0	https://www.cdc.gov.tw/File/Get/gGFNsPNXnnLm71ZA5V8v2A	-
OK	接種指引	學齡前幼童疫苗漏打延遲或不明的補種方式.pdf	49162	https://www.cdc.gov.tw/File/Get/qNin3Z6yrHyHkjPfE3v_sQ	https://www.cdc.gov.tw/Uploads/files/995c770c-379d-4446-8435-7f5d1464c665.pdf
OK	時程表	成人預防接種建議時程表.pdf	317207	https://www.cdc.gov.tw/File/Get/2FStw4fhKhsKtBcOp6WnWg	https://www.cdc.gov.tw/Uploads/files/c4b562e9-6829-4824-b5f0-d974901ca32e.pdf
FAIL_NO_LINK	時程表	現行兒童預防接種時程表_中文	0	https://www.cdc.gov.tw/File/Get/xrvB0rEniERWTvRq-p_pww	-
FAIL_NO_LINK	時程表	現行兒童預防接種時程表_EN_11507	0	https://www.cdc.gov.tw/File/Get/kv6PSO1SrnUDNtw5Y3sXAg	-
OK	接種指引	國小新生入學後預防接種紀錄檢查與補種指引.pdf	123597	https://www.cdc.gov.tw/File/Get/C21MgK68kNl1C4ORnYLhmQ	https://www.cdc.gov.tw/Uploads/files/國小新生入學後預防接種紀錄檢查與補種指引.pdf
OK	通函與判讀	B肝表面抗體陰性者之建議措施.pdf	81099	https://www.cdc.gov.tw/File/Get/gGFNsPNXnnLm71ZA5V8v2A	https://www.cdc.gov.tw/Uploads/files/依時程完成B型肝炎疫苗接種，經檢驗為B型肝炎表面抗體陰性者之建議措施.-6710.pdf
OK	時程表	現行兒童預防接種時程表_中文.pdf	104470	https://www.cdc.gov.tw/File/Get/xrvB0rEniERWTvRq-p_pww	https://www.cdc.gov.tw/Uploads/8c2bdcc6-3386-4dc4-aceb-4887e9020d80.pdf
OK	時程表	現行兒童預防接種時程表_EN_11507.pdf	183518	https://www.cdc.gov.tw/File/Get/kv6PSO1SrnUDNtw5Y3sXAg	https://www.cdc.gov.tw/Uploads/2d89829b-c9a9-4bfb-9f36-ebe02d1f218d.pdf
OK	各疫苗	流感疫苗接種須知_公費社區版.pdf	1067391	https://www.cdc.gov.tw/File/Get/AeYVhYW1qEpzSp62Bs9jpA	https://www.cdc.gov.tw/Uploads/f5656fb9-ddd8-4f9c-bdc3-8d08a534cb74.pdf
FAIL_WRONG_CONTENT	各疫苗	COVID19疫苗接種須知_莫德納LP.8.1.pdf	309440	https://www.cdc.gov.tw/File/Get/4mcdF9hGVjfWQJdWEQ2uew	https://www.cdc.gov.tw/Uploads/files/acba2c8c-b278-42cc-9839-5a18aee59d6c.pdf
FAIL_WRONG_CONTENT	各疫苗	COVID19疫苗接種須知_Novavax JN.1.pdf	309440	https://www.cdc.gov.tw/File/Get/qhq0cN-R8s2AiNS5KByhaw	https://www.cdc.gov.tw/Uploads/files/acba2c8c-b278-42cc-9839-5a18aee59d6c.pdf
OK	各疫苗	肺炎鏈球菌疫苗接種須知_成人PCV20.pdf	2052752	https://www.cdc.gov.tw/File/Get/09-gZ8N9ThN3SyC4tquTrg	https://www.cdc.gov.tw/Uploads/fdc80fe7-52f0-432a-911d-7001587c9f3f.pdf
OK	各疫苗	MMR與Tdap疫苗衛教單張_育齡婦女及孕婦.pdf	2485677	https://www.cdc.gov.tw/File/Get/EPxAPV4HJ62819ipSETgyg	https://www.cdc.gov.tw/Uploads/2725798d-998f-4cea-9f16-7a217ca224c1.pdf
OK	各疫苗	肺炎鏈球菌疫苗接種須知_PPV23.pdf	312445	https://www.cdc.gov.tw/Uploads/e1e12595-dbdf-43eb-8c73-fa7b37018e7a.pdf	https://www.cdc.gov.tw/Uploads/e1e12595-dbdf-43eb-8c73-fa7b37018e7a.pdf
OK	各疫苗	日本腦炎活性減毒疫苗接種須知.pdf	267597	https://www.cdc.gov.tw/Uploads/f45af1df-abff-41f9-b057-6699c88ba8c1.pdf	https://www.cdc.gov.tw/Uploads/f45af1df-abff-41f9-b057-6699c88ba8c1.pdf
